Nahráno na Disk GS,Název souboru v databázi,ID písně,Název písně,v archivu,downloaded
,908.pdf,1003,"Chvalte Pána, všichni lidé",http://web.archive.org/web/20251115175158/https://zpevnik.proscholy.cz/soubor/908.pdf,true
,713.pdf,1006,Na kolena padejme,not available,false
,k202-vodo-zivota.jpg,1014,Vodo života,not available,false
,k77a-bud-vule-tva.jpg,1038,Buď vůle Tvá,not available,false
,k210-ja-vim.jpg,1059,Já vím,not available,false
,k157-pane-ty-vis-vsechno.jpg,1061,"Pane, Ty víš všechno",not available,false
,k145-lide-vsech-narodu-tleskejte-v-dlane.jpg,1062,"Lidé všech národů, tleskejte v dlaně",not available,false
,k191-rekni-sam.jpg,1063,Řekni sám,not available,false
,buh-je-tak-blizko-nas.pdf,1087,Bůh je tak blízko,not available,false
,buh-je-tak-blizko.pdf,1087,Bůh je tak blízko,not available,false
,vse-odkladam-2.1.pdf,1090,Vše odkládám,not available,false
,dolce-sentire-spartito-a-4-voci.pdf,1102,Fratello sole sorella luna,not available,false
,az-se-cas-naplni.pdf,1160,Až se čas naplní,not available,false
,az-se-cas-naplni.mp3,1160,Až se čas naplní,not available,false
,dar-ducha.mp3,1226,Dar Ducha,not available,false
,dar-ducha.pdf,1226,Dar Ducha,not available,false
,906.pdf,1237,"Buď Bohu chvála, dík a čest",http://web.archive.org/web/20241125164536/https://zpevnik.proscholy.cz/soubor/906.pdf,true
,2.pdf,1243,Celé věky čekaly,not available,false
,79.pdf,1299,Jsem zde na zemi poutníkem,not available,false
,70.pdf,1329,Moc předivná,http://web.archive.org/web/20250617130111/https://zpevnik.proscholy.cz/soubor/70.pdf,true
,mosty.jpg,1333,Mosty,not available,false
,EvK219.pdf,1334,Můj Pán všechny svolá,http://web.archive.org/web/20250803113930/https://zpevnik.proscholy.cz/soubor/EvK219.pdf,true
,EVK348.pdf,1350,Odpusť,http://web.archive.org/web/20250617135151/https://zpevnik.proscholy.cz/soubor/EVK348.pdf,true
,18.pdf,1380,Poslal Bůh anděla,not available,false
,804.pdf,1506,K nebesům dnes zaleť písní,not available,false
,65.pdf,1507,Litanie k nejsvětějšímu Srdci Ježíšovu,not available,false
,68.pdf,1509,Litanie ke všem svatým,not available,false
,72.pdf,1510,Křížová cesta II.,not available,false
,73.pdf,1511,Křížová cesta III,not available,false
,74.pdf,1512,Křížová cesta IV.,http://web.archive.org/web/20250512064800/https://zpevnik.proscholy.cz/soubor/74.pdf,true
,75.pdf,1513,"Ježíši, tichý Beránku",not available,false
,semzp-615b-andel-pane-moravsky.pdf,1515,Anděl Páně,not available,false
,101a.pdf,1517,"Ejhle, Hospodin přijde",not available,false
,102.pdf,1518,Mnozí spravedliví,not available,false
,103.pdf,1519,Vládce světa,not available,false
,104.pdf,1520,Panno blahoslavená,http://web.archive.org/web/20250803100856/https://zpevnik.proscholy.cz/soubor/104.pdf,true
,105.pdf,1521,Chvalme Boha vesele,not available,false
,206.pdf,1522,"Vítej, milý Jezu Kriste",not available,false
,107.pdf,1523,Radostné to Děťátko,not available,false
,108.pdf,1524,"Ty jsi, Kriste, Boží Syn",not available,false
,110.pdf,1526,"Prolom, Pane, nebesa",http://web.archive.org/web/20241203003841/https://zpevnik.proscholy.cz/soubor/110.pdf,true
,111.pdf,1527,Všichni věrní křesťané,not available,false
,112.pdf,1528,Z hvězdy vyšlo slunce,not available,false
,113.pdf,1529,Před Pána vstupujem,http://web.archive.org/web/20250805182722/https://zpevnik.proscholy.cz/soubor/113.pdf,true
,114.pdf,1530,"Zdráv buď, Pane Jezu Kriste",not available,false
,115.pdf,1531,"Požehnaný, velebný",not available,false
,116.pdf,1532,"Jezu, skrytý v svátosti",not available,false
,117.pdf,1533,Rodičko Boží vznešená,not available,false
,121.pdf,1534,"Aj, slyšte z nenadání",http://web.archive.org/web/20241125073426/https://zpevnik.proscholy.cz/soubor/121.pdf,true
,122.pdf,1535,Co již dávní proroci,not available,false
,123.pdf,1536,"Ejhle, přijde Pán",http://web.archive.org/web/20240913150021/https://zpevnik.proscholy.cz/soubor/123.pdf,true
,124.pdf,1537,Jak růže krásná,not available,false
,jak-ruze-krasna-z-jericha-harm-olejnik.jpg,1537,Jak růže krásná,not available,false
,125.pdf,1538,"Sešli, nebe, Spasitele",not available,false
,126.pdf,1539,Vesele zpívejme,not available,false
,127.pdf,1540,"Zavítej k nám, Stvořiteli",http://web.archive.org/web/20241204001330/https://zpevnik.proscholy.cz/soubor/127.pdf,true
,128a.pdf,1541,"Dej rosu, nebe nad námi",not available,false
,128b.pdf,1541,"Dej rosu, nebe nad námi",not available,false
,129.pdf,1542,Volá hlas,http://web.archive.org/web/20241125091147/https://zpevnik.proscholy.cz/soubor/129.pdf,true
,130.pdf,1543,Z nebe posel vychází,not available,false
,140.pdf,1544,"Zdráva buď, Panno Maria",not available,false
,202.pdf,1551,Pojďte všichni k jesličkám,not available,false
,203.pdf,1552,"Zvěstujem vám radost, radost převelikou",not available,false
,204.pdf,1553,S pastýři teď o závod,not available,false
,205.pdf,1554,"Vítej nám, Bože vtělený",not available,false
,207.pdf,1555,Nastal přeradostný čas,not available,false
,208.pdf,1556,Čas radosti veselosti (Kancionál),not available,false
